No. Acto;Procedencia;Tipo de Documento;Fecha Pagado;Valor Base Gravable;Impuesto de Registro;Intereses;Total Impuesto de Registro;Origen Pago
71;NOTARIA TERCERA;ESCRITURA;2018-04-16;105000000;1050000;0;1050000;Pago con codbarra
71;NOTARIA TERCERA;ESCRITURA;2018-04-02;12000000;120000;0;120000;SAES
72;NOTARIA CUARTA;ESCRITURA;2018-04-02;80000000;800000;0;800000;Pago con codbarra
71;GOBERNACION;ESCRITURA;2018-04-20;9200000;92000;31100;123100;Pago con codbarra
38;NOTARIA PRIMERA;ESCRITURA;2018-04-04;84900000;953200;0;953200;Efecty
71;NOTARIA TERCERA;ESCRITURA;2018-04-18;20000000;200000;0;200000;Pago con codbarra
71;NOTARIA SEGUNDA;ESCRITURA;2018-04-09;136500000;1365000;0;1365000;Efecty
112;GOBERNACION;ESCRITURA;2018-04-03;50000000;500000;0;500000;Efecty
106;NOTARIA PRIMERA;ESCRITURA;2018-04-05;96100000;961000;0;961000;Pago con codbarra
165;NOTARIA PRIMERA;ESCRITURA;2018-04-09;106308000;1063100;0;1063100;Efecty
4;NOTARIA SEGUNDA;ESCRITURA;2018-04-25;2900000;133200;0;133200;Efecty
71;NOTARIA SEGUNDA;ESCRITURA;2018-04-25;4000000;40000;0;40000;Efecty
71;NOTARIA TERCERA;ACTA;2018-04-02;110000000;1100000;0;1100000;Pago con codbarra
71;NOTARIA TERCERA;ESCRITURA;2018-04-26;87900000;1191600;0;1191600;Efecty
71;NOTARIA UNICA CUMBAL;ESCRITURA;2018-04-02;5000000;50000;0;50000;Efecty
71;NOTARIA UNICA CUMBAL;ESCRITURA;2018-04-12;2000000;20000;0;20000;Efecty
71;NOTARIA CUARTA;ESCRITURA;2018-04-25;13000000;130000;0;130000;Efecty
71;GOBERNACION;ESCRITURA;2018-04-18;50000000;500000;0;500000;Efecty
71;NOTARIA TERCERA;ESCRITURA;2018-04-19;52100000;521000;0;521000;Pago con codbarra
16;NOTARIA CUARTA;ESCRITURA;2018-04-30;20000000;304200;0;304200;Efecty
71;NOTARIA TERCERA;ACTA;2018-04-04;2100000;21000;0;21000;Efecty
105;NOTARIA SEGUNDA;ESCRITURA;2018-04-17;0;208400;0;208400;Pago con codbarra
71;NOTARIA TERCERA;ESCRITURA;2018-04-11;9600000;96000;0;96000;Efecty
71;NOTARIA TERCERA;ESCRITURA;2018-04-04;12000000;120000;0;120000;Pago con codbarra
71;NOTARIA PRIMERA  IPIALES;ESCRITURA;2018-04-02;1500000;15000;0;15000;Pago con codbarra
71;NOTARIA CUARTA;ESCRITURA;2018-04-17;3000000;30000;0;30000;Efecty
71;NOTARIA CUARTA;ESCRITURA;2018-04-16;44465000;444700;0;444700;Efecty
322;NOTARIA SEGUNDA;ESCRITURA;2018-04-04;0;104200;0;104200;Pago con codbarra
71;NOTARIA CUARTA;ESCRITURA;2018-04-18;5000000;50000;0;50000;Efecty
71;NOTARIA CUARTA;ESCRITURA;2018-04-12;10000000;100000;0;100000;Pago con codbarra
71;NOTARIA TERCERA;ESCRITURA;2018-04-17;61057700;610600;0;610600;Efecty
71;NOTARIA TERCERA;ESCRITURA;2018-04-12;121500000;1215000;0;1215000;Pago con codbarra
71;NOTARIA PRIMERA;ESCRITURA;2018-04-27;17200000;172000;0;172000;Efecty
273;NOTARIA CUARTA;ESCRITURA;2018-04-05;0;208400;0;208400;SAES
1;NOTARIA CUARTA;ESCRITURA;2018-04-05;0;208400;0;208400;SAES
105;NOTARIA SEGUNDA;ESCRITURA;2018-04-04;0;104200;0;104200;Pago con codbarra
71;NOTARIA SEGUNDA;ESCRITURA;2018-04-02;1000000;10000;0;10000;Efecty
71;NOTARIA SEGUNDA;ESCRITURA;2018-04-04;12000000;120000;0;120000;SAES
71;NOTARIA SEGUNDA;ESCRITURA;2018-04-13;83000000;830000;0;830000;Pago con codbarra
63;NOTARIA CUARTA;ESCRITURA;2018-04-04;0;104200;0;104200;Efecty
71;NOTARIA CUARTA;ESCRITURA;2018-04-04;24600000;246000;0;246000;Pago con codbarra
71;NOTARIA TERCERA;ESCRITURA;2018-04-10;5000000;50000;0;50000;Pago con codbarra
71;NOTARIA PRIMERA;ESCRITURA;2018-04-04;53000000;530000;0;530000;Efecty
71;NOTARIA CUARTA;ESCRITURA;2018-04-11;3000000;30000;0;30000;Pago con codbarra
48;NOTARIA TERCERA;ESCRITURA;2018-04-10;0;104200;0;104200;Efecty
72;NOTARIA TERCERA;ESCRITURA;2018-04-02;6000000;60000;0;60000;Pago con codbarra
165;NOTARIA SEGUNDA;ESCRITURA;2018-04-04;1000000;10000;0;10000;Efecty
165;NOTARIA SEGUNDA;ESCRITURA;2018-04-04;1000000;10000;0;10000;Efecty
165;NOTARIA SEGUNDA;ESCRITURA;2018-04-03;40000000;400000;0;400000;Pago con codbarra
112;NOTARIA CUARTA;ESCRITURA;2018-04-20;6000000;60000;0;60000;Pago con codbarra
165;NOTARIA SEGUNDA;ESCRITURA;2018-04-04;1100000;11000;0;11000;Efecty
322;NOTARIA SEGUNDA;ESCRITURA;2018-04-04;0;104200;0;104200;Pago con codbarra
266;NOTARIA PRIMERA  IPIALES;ESCRITURA;2018-04-03;5000000;50000;0;50000;Efecty
71;NOTARIA TERCERA;ESCRITURA;2018-04-10;4000000;40000;0;40000;Pago con codbarra
71;NOTARIA TERCERA;ESCRITURA;2018-04-02;2000000;20000;0;20000;Efecty
71;NOTARIA TERCERA;ESCRITURA;2018-04-05;10000000;100000;0;100000;Pago con codbarra
71;NOTARIA TERCERA;ESCRITURA;2018-04-05;34000000;340000;0;340000;Pago con codbarra
71;NOTARIA CUARTA;ESCRITURA;2018-04-25;5000000;50000;0;50000;Pago con codbarra
16;NOTARIA SEGUNDA;ESCRITURA;2018-04-05;12000000;224200;0;224200;Efecty
71;NOTARIA CUARTA;ESCRITURA;2018-04-18;50023000;500200;0;500200;SAES
71;NOTARIA CUARTA;ESCRITURA;2018-04-19;30000000;300000;0;300000;Efecty
71;NOTARIA SEGUNDA;ESCRITURA;2018-04-02;13500000;135000;0;135000;Efecty
71;NOTARIA CUARTA;ESCRITURA;2018-04-04;7000000;70000;0;70000;Efecty
71;NOTARIA TERCERA;ESCRITURA;2018-04-17;12000000;120000;0;120000;SAES
71;NOTARIA TERCERA;ACTA;2018-04-02;3100000;31000;0;31000;SAES
71;NOTARIA TERCERA;ESCRITURA;2018-04-09;163900000;1639000;0;1639000;Pago con codbarra
106;NOTARIA TERCERA;ESCRITURA;2018-04-03;92140500;1025600;0;1025600;Pago con codbarra
71;NOTARIA TERCERA;ESCRITURA;2018-04-04;1000000;10000;0;10000;Pago con codbarra
71;NOTARIA TERCERA;ESCRITURA;2018-04-04;4000000;40000;0;40000;Pago con codbarra
71;NOTARIA CUARTA;ESCRITURA;2018-04-11;78500000;785000;0;785000;Efecty
38;NOTARIA CUARTA;ESCRITURA;2018-04-03;0;208300;0;208300;Pago con codbarra
325;NOTARIA TERCERA;ESCRITURA;2018-04-04;3108000;31100;0;31100;SAES
71;NOTARIA TERCERA;ESCRITURA;2018-04-10;12000000;120000;0;120000;Pago con codbarra
71;NOTARIA PRIMERA;ESCRITURA;2018-04-03;92050000;920500;0;920500;Efecty
71;NOTARIA CUARTA;ESCRITURA;2018-04-05;5000000;50000;0;50000;Pago con codbarra
165;NOTARIA CUARTA;ESCRITURA;2018-04-02;242000000;2420000;0;2420000;Efecty
71;NOTARIA CUARTA;ESCRITURA;2018-04-04;5000000;50000;0;50000;Efecty
165;GOBERNACION;SENTENCIA;2018-04-10;154557000;1545600;0;1545600;SAES
71;NOTARIA CUARTA;ESCRITURA;2018-04-04;5000000;50000;0;50000;Efecty
71;NOTARIA CUARTA;ESCRITURA;2018-04-02;53000000;530000;0;530000;Pago con codbarra
106;NOTARIA SEGUNDA;ESCRITURA;2018-04-03;35200000;352000;0;352000;Pago con codbarra
71;NOTARIA SEGUNDA;ESCRITURA;2018-04-04;16800000;272200;0;272200;Pago con codbarra
71;NOTARIA PRIMERA;ESCRITURA;2018-04-03;1000000;10000;0;10000;Pago con codbarra
71;NOTARIA CUARTA;ESCRITURA;2018-04-03;11000000;110000;0;110000;Pago con codbarra
71;NOTARIA UNICA CUMBAL;ESCRITURA;2018-04-02;30000000;300000;0;300000;Efecty
23;NOTARIA PRIMERA;ESCRITURA;2018-04-04;36600000;470200;0;470200;Efecty
71;NOTARIA CUARTA;ESCRITURA;2018-04-10;30000000;300000;0;300000;Efecty
71;NOTARIA CUARTA;ESCRITURA;2018-04-23;65500000;655000;0;655000;Efecty
273;NOTARIA CUARTA;ESCRITURA;2018-04-05;0;208400;0;208400;SAES
71;NOTARIA UNICA CUMBAL;ESCRITURA;2018-04-11;3000000;30000;0;30000;Efecty
71;NOTARIA UNICA CUMBAL;ESCRITURA;2018-04-30;10000000;100000;0;100000;Efecty
71;NOTARIA SEGUNDA;ESCRITURA;2018-04-03;15000000;150000;0;150000;Pago con codbarra
71;NOTARIA SEGUNDA;ESCRITURA;2018-04-02;4000000;40000;0;40000;Efecty
300;NOTARIA UNICA SAMANIEGO;ESCRITURA;2018-04-04;1000000;10000;0;10000;Efecty
23;NOTARIA UNICA SAMANIEGO;ESCRITURA;2018-04-04;1000000;114200;0;114200;Efecty
71;NOTARIA CUARTA;ESCRITURA;2018-04-04;305235000;3052400;0;3052400;Pago con codbarra
71;NOTARIA CUARTA;ESCRITURA;2018-04-04;7500000;179200;0;179200;Efecty
38;NOTARIA CUARTA;ESCRITURA;2018-04-03;108682000;1191000;0;1191000;Efecty
38;NOTARIA TERCERA;ESCRITURA;2018-04-04;0;104200;0;104200;Pago con codbarra
71;NOTARIA TERCERA;ESCRITURA;2018-04-04;10000000;100000;0;100000;Efecty
71;NOTARIA PRIMERA;ESCRITURA;2018-04-25;20000000;200000;0;200000;SAES
88;NOTARIA PRIMERATUQUERRES;ACTA;2018-04-02;500000;107700;0;107700;Efecty
88;NOTARIA UNICA TUMACO;ACTA;2018-04-10;30000000;314200;0;314200;Efecty
38;NOTARIA CUARTA;ESCRITURA;2018-04-03;121600000;1528500;0;1528500;Efecty
71;NOTARIA UNICA SANDONA;ESCRITURA;2018-04-03;2500000;25000;0;25000;SAES
16;NOTARIA PRIMERA;ESCRITURA;2018-04-02;170000000;1804200;0;1804200;Efecty
71;NOTARIA SEGUNDA;ESCRITURA;2018-04-10;141000000;1410000;0;1410000;Pago con codbarra
71;NOTARIA SEGUNDA;ESCRITURA;2018-04-02;6200000;62000;0;62000;Pago con codbarra
71;NOTARIA TERCERA;ESCRITURA;2018-04-11;70000000;700000;0;700000;SAES
71;NOTARIA TERCERA;ESCRITURA;2018-04-02;3000000;30000;0;30000;Pago con codbarra
106;NOTARIA PRIMERA;ESCRITURA;2018-04-26;44820000;448200;0;448200;Efecty
71;NOTARIA TERCERA;ESCRITURA;2018-04-04;1000000;10000;0;10000;Pago con codbarra
71;NOTARIA TERCERA;ESCRITURA;2018-04-04;1000000;10000;0;10000;Pago con codbarra
71;NOTARIA TERCERA;ESCRITURA;2018-04-04;1000000;10000;0;10000;Pago con codbarra
16;NOTARIA TERCERA;ESCRITURA;2018-04-23;12000000;224200;0;224200;Pago con codbarra
71;NOTARIA TERCERA;ESCRITURA;2018-04-03;85900000;1171600;0;1171600;Efecty
71;NOTARIA TERCERA;ESCRITURA;2018-04-04;99500000;1307600;0;1307600;Efecty
71;NOTARIA TERCERA;ESCRITURA;2018-04-27;90500000;1217600;0;1217600;Pago con codbarra
71;NOTARIA CUARTA;ESCRITURA;2018-04-02;62000000;620000;0;620000;Efecty
16;NOTARIA TERCERA;ESCRITURA;2018-04-05;109900000;1307400;0;1307400;Efecty
71;NOTARIA CUARTA;ESCRITURA;2018-04-13;3000000;30000;0;30000;Efecty
71;NOTARIA TERCERA;ESCRITURA;2018-04-10;86900000;1181600;0;1181600;Efecty
16;NOTARIA TERCERA;ESCRITURA;2018-04-09;85652000;1273300;0;1273300;Efecty
1;NOTARIA CUARTA;ESCRITURA;2018-04-04;0;208300;0;208300;Pago con codbarra
71;NOTARIA TERCERA;ESCRITURA;2018-04-02;6000000;660000;0;660000;Efecty
190;GOBERNACION;ACTA;2018-04-12;7000000;153200;0;153200;SAES
71;NOTARIA CUARTA;ESCRITURA;2018-04-09;156950616;1777800;0;1777800;Pago con codbarra
23;NOTARIA UNICA CUMBAL;ESCRITURA;2018-04-12;0;208400;0;208400;Efecty
23;NOTARIA PRIMERA  IPIALES;ESCRITURA;2018-04-18;23000000;334200;0;334200;Efecty
71;NOTARIA CUARTA;ESCRITURA;2018-04-02;130000000;1300000;0;1300000;Efecty
71;NOTARIA CUARTA;ESCRITURA;2018-04-04;100000000;1000000;0;1000000;Pago con codbarra
300;NOTARIA PRIMERATUQUERRES;ESCRITURA;2018-04-03;3000000;30000;0;30000;Efecty
71;NOTARIA CUARTA;ESCRITURA;2018-04-13;5000000;50000;0;50000;Pago con codbarra
71;NOTARIA CUARTA;ESCRITURA;2018-04-12;5000000;50000;0;50000;Efecty
325;NOTARIA SEGUNDA;ESCRITURA;2018-04-09;107189000;1071900;0;1071900;Efecty
71;NOTARIA CUARTA;ESCRITURA;2018-04-13;5000000;50000;0;50000;Pago con codbarra
143;NOTARIA SEGUNDA;ESCRITURA;2018-04-02;0;104200;0;104200;Pago con codbarra
71;NOTARIA CUARTA;ESCRITURA;2018-04-02;5000000;50000;0;50000;Efecty
38;NOTARIA TERCERA;ACTA;2018-04-03;127900000;1487300;0;1487300;Efecty
71;NOTARIA CUARTA;ESCRITURA;2018-04-04;100000000;1000000;0;1000000;Pago con codbarra
38;NOTARIA PRIMERA;ESCRITURA;2018-04-12;86905750;1181700;0;1181700;Efecty
71;NOTARIA PRIMERA;ESCRITURA;2018-04-12;70305750;1015700;0;1015700;Efecty
71;NOTARIA PRIMERA;ESCRITURA;2018-04-12;66359500;976200;0;976200;Efecty
261;NOTARIA PRIMERATUQUERRES;ACTA;2018-04-02;1100000;7700;0;7700;Efecty
71;NOTARIA CUARTA;ESCRITURA;2018-04-02;5000000;50000;0;50000;Pago con codbarra
71;NOTARIA PRIMERA;ESCRITURA;2018-04-09;3000000;30000;0;30000;Pago con codbarra
38;NOTARIA PRIMERA;ESCRITURA;2018-04-02;0;104200;0;104200;Efecty
71;NOTARIA SEGUNDA;ESCRITURA;2018-04-02;9000000;90000;0;90000;Pago con codbarra
71;NOTARIA SEGUNDA;ESCRITURA;2018-04-04;15000000;150000;0;150000;Efecty
71;NOTARIA SEGUNDA;ESCRITURA;2018-04-03;6000000;60000;0;60000;Pago con codbarra
38;NOTARIA PRIMERA;ESCRITURA;2018-04-03;73530750;1047900;0;1047900;Efecty
38;NOTARIA PRIMERA;ESCRITURA;2018-04-03;59305750;905700;0;905700;Efecty
38;NOTARIA PRIMERA;ESCRITURA;2018-04-03;78585750;1098500;0;1098500;Efecty
38;NOTARIA PRIMERA;ESCRITURA;2018-04-03;86905750;1181700;0;1181700;Efecty
38;NOTARIA PRIMERA;ESCRITURA;2018-04-06;90172500;1214300;0;1214300;Efecty
38;NOTARIA PRIMERA;ESCRITURA;2018-04-06;86905750;1181700;0;1181700;Efecty
71;NOTARIA CUARTA;ESCRITURA;2018-04-06;100600000;1006000;0;1006000;Efecty
71;NOTARIA CUARTA;ESCRITURA;2018-04-09;64805000;648100;0;648100;Pago con codbarra
71;NOTARIA TERCERA;ESCRITURA;2018-04-04;10000000;100000;0;100000;Efecty
71;NOTARIA CUARTA;ESCRITURA;2018-04-03;45836000;458400;0;458400;Efecty
71;NOTARIA CUARTA;ESCRITURA;2018-04-03;50000000;500000;0;500000;Pago con codbarra
71;NOTARIA SEGUNDA;ESCRITURA;2018-04-09;2000000;20000;0;20000;Pago con codbarra
4;NOTARIA CUARTA;ESCRITURA;2018-04-24;2000000;124200;0;124200;Pago con codbarra
74;NOTARIA UNICA CUMBAL;ESCRITURA;2018-04-13;1000000;10000;0;10000;Efecty
71;NOTARIA TERCERA;ESCRITURA;2018-04-02;52000000;520000;0;520000;Pago con codbarra
300;NOTARIA UNICA CUMBAL;ESCRITURA;2018-04-03;4000000;40000;0;40000;Efecty
74;NOTARIA UNICA CUMBAL;ESCRITURA;2018-04-09;1000000;10000;0;10000;Efecty
4;NOTARIA CUARTA;ESCRITURA;2018-04-23;2000000;124200;0;124200;Efecty
71;NOTARIA UNICA CUMBAL;ESCRITURA;2018-04-02;500000;5000;0;5000;Efecty
71;NOTARIA CUARTA;ACTA;2018-04-02;22409000;224100;0;224100;Pago con codbarra
165;NOTARIA SEGUNDA;ESCRITURA;2018-04-02;10700000;107000;0;107000;Efecty
71;NOTARIA UNICA CUMBAL;ESCRITURA;2018-04-12;3000000;30000;0;30000;Efecty
72;NOTARIA PRIMERA;ESCRITURA;2018-04-03;7000000;70000;0;70000;Pago con codbarra
71;NOTARIA PRIMERA;ESCRITURA;2018-04-03;20000000;200000;0;200000;Pago con codbarra
71;NOTARIA PRIMERA;ESCRITURA;2018-04-04;149100000;1491000;0;1491000;Efecty
38;NOTARIA PRIMERA;ESCRITURA;2018-04-04;0;104200;0;104200;Efecty
71;NOTARIA CUARTA;ESCRITURA;2018-04-09;3000000;30000;0;30000;Pago con codbarra
1;NOTARIA PRIMERA;ESCRITURA;2018-04-09;0;104200;0;104200;Pago con codbarra
71;NOTARIA TERCERA;ESCRITURA;2018-04-13;6000000;60000;0;60000;Pago con codbarra
71;NOTARIA TERCERA;ESCRITURA;2018-04-04;34500000;345000;0;345000;Pago con codbarra
38;NOTARIA TERCERA;ESCRITURA;2018-04-03;0;104200;0;104200;Pago con codbarra
38;NOTARIA TERCERA;ESCRITURA;2018-04-10;0;104200;0;104200;Pago con codbarra
71;NOTARIA TERCERA;ESCRITURA;2018-04-02;7000000;70000;0;70000;Pago con codbarra
71;NOTARIA TERCERA;ESCRITURA;2018-04-30;38000000;380000;0;380000;Efecty
71;NOTARIA TERCERA;ESCRITURA;2018-04-12;4000000;144200;0;144200;Pago con codbarra
71;NOTARIA CUARTA;ESCRITURA;2018-04-23;478622000;4786200;0;4786200;Pago con codbarra
71;NOTARIA TERCERA;ESCRITURA;2018-04-03;5000000;50000;0;50000;Pago con codbarra
71;NOTARIA CUARTA;ESCRITURA;2018-04-04;17000000;170000;0;170000;Efecty
106;NOTARIA UNICA CUMBAL;ESCRITURA;2018-04-16;3000000;15000;0;15000;Efecty
71;NOTARIA TERCERA;ESCRITURA;2018-04-13;86000000;1068400;0;1068400;Pago con codbarra
71;NOTARIA UNICA CUMBAL;ESCRITURA;2018-04-16;5000000;50000;0;50000;Efecty
71;NOTARIA UNICA CUMBAL;ESCRITURA;2018-04-05;6000000;60000;0;60000;Efecty
71;NOTARIA SEGUNDA;ESCRITURA;2018-04-05;204000000;2144200;0;2144200;Efecty
71;NOTARIA SEGUNDA;ESCRITURA;2018-04-03;40000000;400000;0;400000;Efecty
71;NOTARIA TERCERA;ESCRITURA;2018-04-13;500000;5000;0;5000;Efecty
4;NOTARIA TERCERA;ESCRITURA;2018-04-03;3000000;134200;0;134200;Efecty
71;NOTARIA TERCERA;ESCRITURA;2018-04-02;1000000;10000;0;10000;Pago con codbarra
71;NOTARIA PRIMERA  IPIALES;ESCRITURA;2018-04-03;10000000;100000;0;100000;Efecty
300;NOTARIA UNICA CUMBAL;ESCRITURA;2018-04-05;5000000;50000;0;50000;Efecty
38;NOTARIA CUARTA;ESCRITURA;2018-04-02;0;104200;0;104200;Pago con codbarra
106;NOTARIA SEGUNDA;ESCRITURA;2018-04-02;106359400;1063600;0;1063600;Efecty
71;NOTARIA CUARTA;ESCRITURA;2018-04-02;10213000;102100;0;102100;Pago con codbarra
1;NOTARIA PRIMERA;ESCRITURA;2018-04-11;0;104200;0;104200;Pago con codbarra
71;NOTARIA CUARTA;ESCRITURA;2018-04-02;138000000;1380000;0;1380000;Pago con codbarra
165;NOTARIA PRIMERA;ESCRITURA;2018-04-12;103108000;1031100;0;1031100;Pago con codbarra
48;NOTARIA TERCERA;ESCRITURA;2018-04-04;37500000;479200;0;479200;Pago con codbarra
71;NOTARIA CUARTA;ESCRITURA;2018-04-02;30000000;300000;0;300000;Pago con codbarra
38;NOTARIA CUARTA;ESCRITURA;2018-04-02;0;104200;0;104200;Efecty
38;NOTARIA SEGUNDA;ESCRITURA;2018-04-03;0;104200;0;104200;Pago con codbarra
16;NOTARIA CUARTA;ESCRITURA;2018-04-02;480000000;5008400;0;5008400;Efecty
165;NOTARIA SEGUNDA;ESCRITURA;2018-04-03;74000000;740000;0;740000;Pago con codbarra
4;NOTARIA PRIMERA;ESCRITURA;2018-04-03;131932000;1735900;0;1735900;Efecty
23;NOTARIA TERCERA;ESCRITURA;2018-04-16;0;208400;0;208400;Efecty
71;NOTARIA TERCERA;ESCRITURA;2018-04-05;15000000;150000;0;150000;Pago con codbarra
48;NOTARIA TERCERA;ESCRITURA;2018-04-06;0;104200;0;104200;Efecty
